Swatchos No.,C,M,Y,K,RGB Hex
079.5,0,0,13,0,#FFFDE9
079.4,0,0,19,0,#FFFBDE
079.3,0,0,25,25,#D0CCAC
079.2,0,0,25,50,#9C9982
080.0,0,0,50,0,#FFF59B
080.1,0,0,50,75,#635F3C
080.6,0,0,13,0,#FFFDE9
080.5,0,0,25,0,#FFFAD1
080.4,0,0,38,0,#FFF8B7
080.3,0,0,50,25,#D1C780
080.2,0,0,50,50,#9C9661
081.0,0,0,75,0,#FFF154
081.1,0,0,75,75,#635E21
081.6,0,0,19,0,#FFFBDE
081.5,0,0,38,0,#FFF8B8
081.4,0,0,56,0,#FFF48C
081.3,0,0,75,25,#D2C347
081.2,0,0,75,50,#9C9237
082.0,0,0,100,0,#FFED03
082.1,0,0,100,75,#635D01
082.6,0,0,25,0,#FFFAD1
082.5,0,0,50,0,#FFF59B
082.4,0,0,75,0,#FFF155
082.3,0,0,100,25,#D2C002
082.2,0,0,100,50,#9C9001
083.0,13,0,100,0,#ECE203
083.1,13,0,100,75,#595900
083.6,3,0,25,0,#FBF8D1
083.5,6,0,50,0,#F7F09C
083.4,10,0,75,0,#F2E858
083.3,13,0,100,25,#BFB802
083.2,13,0,100,50,#8E8A01
084.0,25,0,100,0,#D3D802
084.1,25,0,100,75,#4F5500
084.6,6,0,25,0,#F5F5D1
084.5,13,0,50,0,#EAEB9C
084.4,19,0,75,0,#DFE15A
084.3,25,0,100,25,#ABAF02
084.2,25,0,100,50,#7F8401
085.0,50,25,100,0,#96A126
085.1,50,25,100,75,#394107
085.6,13,6,25,0,#E6E6CB
085.5,25,13,50,0,#CDCD95
085.4,38,19,75,0,#B2B55B
085.3,50,25,100,25,#7B841E
085.2,50,25,100,50,#5C6516
086.0,25,0,75,0,#D2DB5C
086.1,25,0,75,75,#4F5623
086.6,6,0,19,0,#F4F6DD
086.5,13,0,38,0,#E9EDB7
086.4,19,0,56,0,#DEE48D
086.3,25,0,75,25,#AAB24D
086.2,25,0,75,50,#7F873A
087.0,50,25,75,0,#95A35C
087.1,50,25,75,75,#384221
087.6,13,6,19,0,#E6E7D7
087.5,25,13,38,0,#CCCFAE
087.4,38,19,56,0,#B1B884
087.3,50,25,75,25,#7A864C
087.2,50,25,75,50,#5B6639
088.0,25,0,50,0,#CFE09B
088.1,25,0,50,75,#4F583C
088.6,6,0,13,0,#F4F7E8
088.5,13,0,25,0,#E8F0D0
088.4,19,0,38,0,#DBE8B6
088.3,25,0,50,25,#A8B67F
088.2,25,0,50,50,#7E8A60
089.0,50,0,100,0,#95C11F
089.1,50,0,100,75,#374D07
089.6,13,0,25,0,#E8F0D0
089.5,25,0,50,0,#CFE09B
